Probe Set ID,Gene Symbol G,Entrez Gene,IDENTIFIER
200784_s_at,LRP1,4035,LRP1
200785_s_at,LRP1,4035,LRP1
200786_at,PSMB7,5695,PSMB7
200787_s_at,PEA15,8682,PEA15
200788_s_at,PEA15,8682,PEA15
200789_at,ECH1,1891,ECH1
200790_at,ODC1,4953,ODC1
200791_s_at,IQGAP1,8826,IQGAP1
200792_at,XRCC6,2547,XRCC6
200793_s_at,ACO2,50,ACO2
200794_x_at,DAZAP2,9802,DAZAP2
200795_at,SPARCL1,8404,SPARCL1
200796_s_at,MCL1,4170,MCL1
200797_s_at,MCL1,4170,MCL1
200798_x_at,MCL1,4170,MCL1
200799_at,HSPA1A /// HSPA1B,3303 /// 3304,HSPA1B
200800_s_at,HSPA1A /// HSPA1B,3303 /// 3304,HSPA1L
200801_x_at,ACTB,60,ACTB
200802_at,SARS,6301,SARS
200803_s_at,TMBIM6,7009,TMBIM6
200804_at,TMBIM6,7009,TMBIM6
200805_at,LMAN2,10960,LMAN2
200806_s_at,HSPD1,3329,HSPD1
200807_s_at,HSPD1,3329,HSPD1
200808_s_at,ZYX,7791,ZYX
200809_x_at,RPL12,6136,RPL12
200810_s_at,CIRBP,1153,CIRBP
200811_at,CIRBP,1153,CIRBP
200812_at,CCT7,10574,CCT7
200813_s_at,PAFAH1B1,5048,PAFAH1B1
200814_at,PSME1,5720,PSME1
200815_s_at,PAFAH1B1,5048,PAFAH1B1
200816_s_at,PAFAH1B1,5048,PAFAH1B1
200817_x_at,RPS10,6204,RPS10
200818_at,ATP5O,539,ATP5O
200819_s_at,RPS15,6209,RPS15
200820_at,PSMD8,5714,PSMD8
200821_at,LAMP2,3920,LAMP2
200822_x_at,TPI1,7167,TPI1
200823_x_at,RPL29,6159,RPL29
200824_at,GSTP1,2950,GSTP1
200825_s_at,HYOU1,10525,HYOU1
200826_at,SNRPD2,6633,SNRPD2
200827_at,PLOD1,5351,PLOD1
200828_s_at,ZNF207,7756,ZNF207
200829_x_at,ZNF207,7756,ZNF207
200830_at,PSMD2,5708,PSMD2
200831_s_at,SCD,6319,SCD
200832_s_at,SCD,6319,SCD
200833_s_at,LOC101060439 /// RAP1B,5908 /// 101060439,RAP1B
200834_s_at,RPS21,6227,RPS21
200835_s_at,MAP4,4134,MAP4
200836_s_at,MAP4,4134,MAP4
200837_at,BCAP31,10134,BCAP31
200838_at,CTSB,1508,CTSB
200839_s_at,CTSB,1508,CTSB
200840_at,KARS,3735,KARS
200841_s_at,EPRS,2058,EPRS
200842_s_at,EPRS,2058,EPRS
200843_s_at,EPRS,2058,EPRS
200844_s_at,PRDX6,9588,PRDX6
200845_s_at,PRDX6,9588,PRDX6
200846_s_at,PPP1CA,5499,PPP1CA
200847_s_at,TMEM66,51669,SARAF
200848_at,AHCYL1,10768,AHCYL1
200849_s_at,AHCYL1,10768,AHCYL1
200850_s_at,AHCYL1,10768,AHCYL1
200851_s_at,IST1,9798,IST1
200852_x_at,GNB2,2783,GNB2
200853_at,H2AFZ,3015,H2AFZ
200854_at,NCOR1,9611,NCOR1
200855_at,NCOR1,9611,NCOR1
200856_x_at,NCOR1,9611,NCOR1
200857_s_at,NCOR1,9611,NCOR1
200858_s_at,RPS8 /// SNORD38B /// SNORD55,6202 /// 26811 /// 94163,SNORD38B
200859_x_at,FLNA,2316,FLNA
200860_s_at,CNOT1,23019,CNOT1
200861_at,CNOT1,23019,CNOT1
200862_at,DHCR24,1718,DHCR24
200863_s_at,RAB11A,8766,RAB11A
200864_s_at,RAB11A,8766,RAB11A
200865_at,EIF3F,8665,EIF3F
200866_s_at,PSAP,5660,PSAP
200867_at,RNF114,55905,RNF114
200868_s_at,RNF114,55905,RNF114
200869_at,RPL18A /// SNORA68,6142 /// 26780,SNORA68
200870_at,STRAP,11171,STRAP
200871_s_at,PSAP,5660,PSAP
200872_at,S100A10,6281,S100A10
200873_s_at,CCT8,10694,CCT8
200874_s_at,MIR1292 /// NOP56 /// SNORD110 /// SNORD57 /// SNORD86,10528 /// 26792 /// 692201 /// 692213 /// 100302138,MIR1292
200875_s_at,MIR1292 /// NOP56 /// SNORD110 /// SNORD57 /// SNORD86,10528 /// 26792 /// 692201 /// 692213 /// 100302138,MIR1292
200876_s_at,PSMB1,5689,PSMB1
200877_at,CCT4,10575,CCT4
200878_at,EPAS1,2034,EPAS1
200879_s_at,EPAS1,2034,EPAS1
200880_at,DNAJA1,3301,DNAJA1
200881_s_at,DNAJA1,3301,DNAJA1
200882_s_at,PSMD4,5710,PSMD4
200883_at,UQCRC2,7385,UQCRC2
200884_at,CKB,1152,CKB
200885_at,RHOC,389,RHOC
200886_s_at,PGAM1,5223,PGAM1
200887_s_at,STAT1,6772,STAT1
200888_s_at,RPL23 /// SNORA21,9349 /// 619505,SNORA21
200889_s_at,SSR1,6745,SSR1
200890_s_at,SSR1,6745,SSR1
200891_s_at,SSR1,6745,SSR1
200892_s_at,TRA2B,6434,TRA2B
200893_at,TRA2B,6434,TRA2B
200894_s_at,FKBP4,2288,FKBP4
200895_s_at,FKBP4,2288,FKBP4
200896_x_at,HDGF,3068,HDGF
200897_s_at,PALLD,23022,PALLD
200898_s_at,MGEA5,10724,MGEA5
200899_s_at,MGEA5,10724,MGEA5
200900_s_at,M6PR,4074,M6PR
200901_s_at,M6PR,4074,M6PR
200902_at,/SEP15,9403,15-Sep
200903_s_at,AHCY,191,AHCY
200904_at,HLA-E,3133,HLA-E
200905_x_at,HLA-E,3133,HLA-E
200906_s_at,PALLD,23022,PALLD
200907_s_at,PALLD,23022,PALLD
200908_s_at,RPLP2,6181,RPLP2
200909_s_at,RPLP2 /// SNORA52,6181 /// 619565,SNORA52
200910_at,CCT3,7203,LOC101927137
200911_s_at,TACC1,6867,TACC1
200912_s_at,EIF4A2 /// MIR1248 /// SNORA4 /// SNORA63 /// SNORA81 /// SNORD2,1974 /// 6043 /// 619567 /// 619568 /// 677847 /// 100302143,MIR1248
200913_at,PPM1G,5496,PPM1G
200914_x_at,KTN1,3895,KTN1
200915_x_at,KTN1,3895,KTN1
200916_at,TAGLN2,8407,TAGLN2
200917_s_at,SRPR,6734,SRPRA
200918_s_at,SRPR,6734,SRPRA
200919_at,PHC2,1912,PHC2
200920_s_at,BTG1,694,BTG1
200921_s_at,BTG1,694,BTG1
200922_at,KDELR1,10945,KDELR1
200923_at,LGALS3BP,3959,LGALS3BP
200924_s_at,SLC3A2,6520,SLC3A2
200925_at,COX6A1,1337,COX6A1
200926_at,RPS23,6228,RPS23
200927_s_at,RAB14,51552,RAB14
200928_s_at,RAB14,51552,RAB14
200929_at,TMED10,10972,TMED10
200930_s_at,VCL,7414,VCL
200931_s_at,VCL,7414,VCL
200932_s_at,DCTN2,10540,DCTN2
200933_x_at,RPS4X,6191,RPS4X
200934_at,DEK,7913,DEK
200935_at,CALR,811,CALR
200936_at,RPL8,6132,RPL8
200937_s_at,RPL5 /// SNORD21,6083 /// 6125,RPL5
200938_s_at,RERE,473,RERE
200939_s_at,RERE,473,RERE
200940_s_at,RERE,473,RERE
200941_at,HSBP1,3281,HSBP1
200942_s_at,HSBP1,3281,HSBP1
200943_at,HMGN1,3150,HMGN1
200944_s_at,HMGN1,3150,LOC101927733
200945_s_at,SEC31A,22872,SEC31A
200946_x_at,GLUD1,2746,GLUD1
200947_s_at,GLUD1,2746,GLUD1
200948_at,MLF2,8079,MLF2
200949_x_at,RPS20 /// SNORD54,6224 /// 26795,SNORD54
200950_at,ARPC1A,10552,ARPC1A
200951_s_at,CCND2,894,CCND2
200952_s_at,CCND2,894,CCND2
200953_s_at,CCND2,894,CCND2
200954_at,ATP6V0C,527,ATP6V0C
200955_at,IMMT,10989,IMMT
200956_s_at,SSRP1,6749,SSRP1
200957_s_at,SSRP1,6749,SSRP1
200958_s_at,SDCBP,6386,SDCBP
200959_at,FUS,2521,FUS
200960_x_at,CLTA,1211,CLTA
200961_at,SEPHS2,22928,SEPHS2
200962_at,RPL31,6160,RPL31
200963_x_at,RPL31,6160,RPL31
200964_at,UBA1,7317,UBA1
